,N_cities,benchmark_device,num_sweeps,trotter_size,sample_no,objective_mean,objective_std,objective_min,objective_max,sampling_time
37,40,G2,400,30,0,162.3260043121037,8.924442502615486,136.23616387522785,183.30262060520516,0.3909932
38,40,G2,400,40,0,160.08871923775376,8.071266259105006,140.3959494188689,180.92887336182676,0.46397278
39,40,G2,400,60,0,155.68091580841002,7.860595687725941,137.21389790220766,172.61337433613267,0.6241069
40,40,G2,600,10,0,169.65107660938583,10.188805113955398,148.86625090152364,193.5547145408134,0.35600915
41,40,G2,600,20,0,163.1833436609891,8.160158250746967,144.48897930121672,182.18067156265533,0.40805364
42,40,G2,600,30,0,159.83847879906185,8.126907004674495,137.63199081766362,177.0620865174015,0.48859609
43,40,G2,600,40,0,156.94748776373146,8.027614106892077,132.15257589442015,171.9459447635886,0.56778173
44,40,G2,600,60,0,156.95271651925347,8.006986302032418,133.84215294768336,174.804692286141,0.74841043
45,40,G2,1000,10,0,169.9663226940671,10.48124093005303,143.62978696554617,201.39429692669293,0.54639829
46,40,G2,1000,20,0,162.00178336635204,8.944468020117368,133.8897385797654,180.86952197819915,0.59600648
47,40,G2,1000,30,0,158.00548096592655,9.57886413920353,126.59161786481464,175.64958337869817,0.68621163
48,40,G2,1000,40,0,157.29403274873562,6.902448452654609,135.5136824186322,175.58760126312052,0.77456157
49,40,G2,1000,60,0,154.26178302574584,7.430175443366177,130.2638286126833,170.53628016321267,0.99194956
50,40,G3,100,10,0,186.92384602438074,13.900605926760068,158.9536355196594,226.40637084202882,0.09033704000000001
51,40,G3,100,20,0,180.91761531710242,12.89619618241592,133.73083014988262,226.2059425227684,0.13238282999999998
52,40,G3,100,30,0,181.1751076776163,12.815938597264807,148.78539787641202,218.39630134219217,0.17375485999999998
53,40,G3,100,40,0,178.26630725292765,11.569440972036672,145.93324668206884,224.77973612005064,0.21669751
54,40,G3,100,60,0,174.9428756381936,10.340531194015897,148.43057626073252,204.67610395594576,0.30776415
55,40,G3,200,10,0,176.91194375455234,12.831856600706871,133.39475163169294,205.12720564386805,0.13297747
56,40,G3,200,20,0,169.94081372926078,8.549370322941394,148.6967994384528,196.88722285131777,0.1727458
57,40,G3,200,30,0,167.71590292589016,9.309388660064233,140.41869904751854,194.4192916737332,0.21440394000000002
58,40,G3,200,40,0,166.34321820137498,8.418630007894725,143.92223405863965,187.6724925057989,0.25653968
59,40,G3,200,60,0,159.9206763855118,8.438256301872189,140.11334136362044,178.31105787838393,0.35267695000000004
60,40,G3,400,10,0,170.82523293846384,10.941677383558524,144.45663434578913,198.12036441925864,0.21598433
61,40,G3,400,20,0,166.12447800413523,8.844675522349288,141.2895262684927,189.35882602522065,0.25565093
62,40,G3,400,30,0,161.76488279170525,8.155006747085539,138.68124990304932,181.12684107215435,0.29383528
63,40,G3,400,40,0,159.37669783510003,7.897886552909988,131.55885856331895,176.07023483773753,0.33770744999999996
64,40,G3,400,60,0,156.70011586467436,7.853011546348125,139.45194256148963,178.60757893036666,0.4457895
65,40,G3,600,10,0,168.69772449244064,10.34073617953197,145.1185582895658,192.7653857104663,0.30097893
66,40,G3,600,20,0,163.29100657819816,10.284177323012063,131.3702900346674,188.36979789661257,0.33850692000000004
67,40,G3,600,30,0,160.39258958705207,6.913957332119223,141.7818362880495,179.01557443053946,0.37644103
68,40,G3,600,40,0,158.7312498317716,8.10766530810198,137.8945456875464,172.68295626740752,0.41827007
69,40,G3,600,60,0,155.4059611134111,8.145854400538031,133.01102099910446,170.37487635153022,0.53438315
70,40,G3,1000,10,0,167.97887259650065,10.95976949376598,132.68830698638342,199.2769968492466,0.46978766
71,40,G3,1000,20,0,160.3629010466556,8.458022688521346,141.15354952375705,184.21567329063885,0.50180761
72,40,G3,1000,30,0,159.2101202090007,9.744637387886138,132.54354952727803,177.72191594757183,0.53663361
73,40,G3,1000,40,0,156.3105332266804,7.825099933085566,134.09289114862787,174.1239021857904,0.57815026
74,40,G3,1000,60,0,154.91651502159274,7.117160115265685,131.83128031558402,168.22017214408444,0.71533858
